source_layer,source,target_layer,target,weight,causal_edge,pathway,ligand_expr,receptor_expr,tf_expr,target_expr
0,INHBA,1,ACVR1B,0.24749999999999997,CAF→Treg,Activin-SMAD,5.077175380634054,0.0,,
1,ACVR1B,2,SMAD2,0.19799999999999998,CAF→Treg,Activin-SMAD,,,2.8508003014277783,
2,SMAD2,3,FOXP3,0.14849999999999997,CAF→Treg,Activin-SMAD,,,,5.055903367181155
0,INHBA,1,ACVR2A,0.3,CAF→Treg,Activin-SMAD,5.077175380634054,0.6202168802549918,,
1,ACVR2A,2,SMAD3,0.24,CAF→Treg,Activin-SMAD,,,2.4129513462056598,
2,SMAD3,3,FOXP3,0.18,CAF→Treg,Activin-SMAD,,,,5.055903367181155
