rank_in_mode,mode,pathway,ligand,receptor,tf,target_gene,source_type,target_type,source_node,target_node,ligand_expr,receptor_expr,tf_expr,target_expr,missing_genes,spatial_weight,geometry_distance,geometry_weight,blended_weight,flow_score,normalized_flow,causal_forward,causal_reverse,direction_status,module_label
18,hyperbolic,Activin-SMAD,INHBA,ACVR2A,SMAD3,FOXP3,CAF,Treg,Fibroblast_S1,T_cell_regulatory,3.130204470517434,0.6202168802549918,2.41295134620566,5.055903367181155,,0.1080527839445394,0.4022740645603113,0.6687974268981619,0.5235563360094343,0.5235563360094343,0.8281137346569832,True,False,forward,INHBA-ACVR2A-SMAD3-FOXP3
5,hyperbolic,Integrin-FAK,POSTN,ITGAV,SRC,CD163,CAF,TAM,Fibroblast_S1,Macrophage_cycling,4.691088276741346,2.4976345336833354,1.7383665137537367,3.79783325544192,,0.2008950563732718,0.1924036710922832,0.8249737831995844,0.6091112768479034,0.6091112768479034,0.9634367490170374,True,False,forward,POSTN-ITGAV-SRC-CD163
4,hyperbolic,Integrin-FAK,MFAP2,ITGA5,SRC,CD163,CAF,TAM,Fibroblast_S1,Macrophage_cycling,2.7027483543662227,1.959847967372706,1.7383665137537367,3.79783325544192,,0.2008950563732718,0.1924036710922832,0.8249737831995844,0.6091112768479034,0.6091112768479034,0.9634367490170374,True,False,forward,MFAP2-ITGA5-SRC-CD163
1,hyperbolic,TGFb-SMAD,TGFB1,TGFBR2,SMAD2,LAG3,TAM,CD8T,Macrophage_cycling,T_cell_CD8_cycling,3.0594476311646672,2.6700739322010114,2.4224076129463947,3.574579452639874,,0.2286391645139427,0.145650898463406,0.8644594346310754,0.6322275722504457,0.6322275722504457,1.0,True,False,forward,TGFB1-TGFBR2-SMAD2-LAG3
2,hyperbolic,TGFb-SMAD,TGFB1,TGFBR1,SMAD3,HAVCR2,TAM,CD8T,Macrophage_cycling,T_cell_CD8_cycling,3.0594476311646672,1.6135034635555414,1.5871365998741662,3.223069197426258,,0.2286391645139427,0.145650898463406,0.8644594346310754,0.6322275722504457,0.6322275722504457,1.0,True,False,forward,TGFB1-TGFBR1-SMAD3-HAVCR2
3,hyperbolic,IL10-STAT3,IL10,IL10RA,STAT3,PDCD1,TAM,CD8T,Macrophage_cycling,T_cell_CD8_cycling,2.082244784598257,2.941318310469021,3.713977346614635,2.779438208873051,,0.2286391645139427,0.145650898463406,0.8644594346310754,0.6322275722504457,0.6322275722504457,1.0,True,False,forward,IL10-IL10RA-STAT3-PDCD1
